# Original Index for ladder proteins useable with TwoSix 100K chip
# Author: Jed Singer
dataset,name
Inna,HSirpa_0598
Inna,p1-14H-GBL-14H-GBL-16H_0845_0001_0001
Inna,p1-15H-GBL-15H-GBBL-16H_0254_0001_0001
Inna,HSirpa_2007
Inna,HSirpa_2504
Inna,HSirpa_1796
Inna,MSirpa_0379
Inna,HSirpa_1980
Inna,HSirpa_2082
Inna,HSirpa_0853
Inna,HSirpa_0341
Inna,HSirpa_2039
Inna,HSirpa_1153
Inna,HSirpa_1858
Inna,MSirpa_0634
Inna,HSirpa_0458
Inna,HSirpa_0276
Inna,MSirpa_0877
Inna,MSirpa_0591
Inna,p1-16H-GABBL-14H-GABBL-15H_0715_0001_0001
Inna,p1-16H-GBL-16H-GBL-15H_0904_0001_0001
Inna,HSirpa_1666
Inna,HSirpa_0055
Inna,HSirpa_0642
Inna,HSirpa_0846
Inna,p1-16H-GABBL-14H-BBL-14H_0416_0001_0001
Inna,HSirpa_1595
Inna,MSirpa_0770
Inna,HSirpa_1515
Inna,HSirpa_1197
Inna,MSirpa_0653
Inna,MSirpa_0936
Inna,HSirpa_1539
Inna,HSirpa_2326
Inna,MSirpa_0813
Inna,HSirpa_2100
Inna,HSirpa_2458
Inna,p1-14H-GBL-14H-GBL-16H_0162_0001
Inna,HSirpa_2288
Inna,MSirpa_0980
Inna,HSirpa_1994
Inna,HSirpa_1612
Inna,HSirpa_2420
Inna,HSirpa_1664
Inna,HSirpa_0088
Eva1,ems_thioM_122_0002
Eva1,ems_4hM_2733
Eva1,ems_4hC_1920_0002
Eva1,rand_ems_4hM_2899
Eva1,ems_f2_275
Eva1,ems_thioC_91
Eva1,ems_4hM_91
Eva1,ems_4hM_4336_0002
Eva1,ems_f4m_7
Eva1,ems_4hM_1319
Eva1,rand_ems_ferrM_6507
Eva1,ems_ferrM_2201_0002
Eva1,ems_ferrM_2623_0002
Eva1,ems_4hM_2354
Eva1,ems_ferrC_1690
Eva1,ems_thioM_776_0002
Eva1,ems_ferrM_1264
Eva1,ems_ferrM_2142
Eva1,ems_4hC_2808
Eva1,ems_ferrM_489
Eva1,ems_4hM_2539
Eva1,ems_4hM_3728
Eva1,ems_ferrM_322
Eva1,ems_ferrM_7107
Eva1,ems_ferrM_327_0002
Eva1,bGM_107
Eva1,ems_ferrM_7356
Eva1,ems_ferrM_5888
Eva1,bGM_530
Eva1,ems_ferrM_2555
Eva1,ems_ferrM_880
Eva1,ems_ferrM_3208_0002
Eva1,ems_ferrM_3632_0002
Eva1,ems_f2_903
Eva1,ems_ferrM_5589
Eva1,ems_4hM_3652
Eva1,ems_f2_513
Eva1,ems_ferrM_3798_0002
Eva1,ems_ferrM_3343_0002
Eva1,ems_4hM_2113
Eva1,ems_4hM_3417
Eva1,ems_4hM_837
Eva1,ems_ferrM_3552_0002
Eva1,ems_ferrM_1496_0002
Eva1,ems_4hM_3975
Eva1,rand_ems_ferrM_330
Eva1,ems_4hC_2866_0002
Eva1,ems_4hM_2857
Eva1,ems_bGC_221
Eva1,bGM_147_0002
Eva1,rand_ems_ferrC_1340
Eva1,rand_ems_4hM_4919
Eva1,ems_4hC_1421_0002
Eva1,ems_f4m_325
Eva1,rand_ems_thioM_799
Eva1,ems_4hM_3821_0002
Eva1,ems_ferrM_6284_0002
Eva1,ems_ferrM_3364
Eva1,ems_ferrM_1437
Eva1,ems_4hM_4216
Eva1,ems_4hC_103_0002
Eva1,ems_4hM_2486
Eva1,ems_4hM_273_0002
Eva1,ems_4hM_3106
Eva1,ems_fer_extM_99
Eva1,ems_ferrM_4489_0002
Eva1,ems_bGw_31
Eva1,ems_ferrM_6487
Eva1,rand_ems_4hM_453
Eva1,ems_4hM_817
Eva1,ems_4hM_1087
Eva1,ems_ferrM_4338_0002
Eva1,ems_ferrM_1242_0002
Eva1,ems_4hM_2336
Rocklin,HHH_rd4_0084_buryD
Rocklin,HEEH_rd3_1694_PG_hp
Rocklin,HEEH_rd2_0304_buryD
Rocklin,HEEH_rd3_1352
Rocklin,EEHEE_rd3_1443
Rocklin,HEEH_rd2_0075
Rocklin,EEHEE_rd4_0312_PG_hp
Rocklin,EEHEE_rd3_0575_buryD
Rocklin,HHH_rd3_0160
Rocklin,EEHEE_rd3_0710
Rocklin,EEHEE_rd3_1148_buryD
Rocklin,EEHEE_rd1_0997_hp
Rocklin,HHH_rd4_0736_PG_hp
Rocklin,HHH_rd1_0694_random
Rocklin,EEHEE_rd1_0753_hp
Rocklin,HHH_rd4_0981_PG_hp
Rocklin,EEHEE_rd3_1750_PG_hp
Rocklin,EEHEE_rd3_0467_buryD
Rocklin,HEEH_rd1_0487_random
Rocklin,HEEH_rd4_0077_PG_hp
Rocklin,EHEE_rd1_0056_hp
Rocklin,chymo_test_F390
Rocklin,EEHEE_rd3_0957
Rocklin,HEEH_rd4_0292
Rocklin,EEHEE_rd3_0395
Rocklin,EHEE_rd3_0091
Rocklin,HHH_rd4_0412
Rocklin,EEHEE_rd4_0848
Rocklin,HEEH_rd4_0292_buryD
Rocklin,HEEH_rd1_0974_random
Rocklin,EEHEE_rd3_0018
Rocklin,EHEE_rd2_0024
Rocklin,EHEE_rd2_1132_PG_hp
Rocklin,HEEH_rd2_0378_PG_hp
Rocklin,HEEH_rd3_0382_buryD
Rocklin,HEEH_rd4_0934_PG_hp
Rocklin,HEEH_rd4_0509_buryD
Rocklin,EHEE_rd1_0519_hp
Rocklin,EEHEE_rd2_1010_buryD
Rocklin,EHEE_rd4_0604_PG_hp
Rocklin,HEEH_rd3_0100_PG_hp
Rocklin,EEHEE_rd3_1703_buryD
Rocklin,HEEH_rd3_0295
Rocklin,HEEH_rd4_0159_buryD
Rocklin,EHEE_rd4_0939_buryD
Rocklin,EHEE_rd1_0004_random
Rocklin,tryp_test_K309
Rocklin,tryp_test_K482
Rocklin,chymo_test_W006
Rocklin,tryp_test_R466
Rocklin,1ZRW
Rocklin,HEEH_rd4_0119_PG_hp
Rocklin,HEEH_rd2_0066_buryD
Rocklin,HEEH_rd4_0745_PG_hp
Rocklin,HEEH_rd3_0402_buryD
Rocklin,EEHEE_rd2_0071_PG_hp
Rocklin,EEHEE_rd3_1237_buryD
Rocklin,EHEE_rd1_0303_hp
Rocklin,HEEH_rd4_0960_buryD
Rocklin,EHEE_rd1_0356
Rocklin,EEHEE_rd1_0415_random
Rocklin,EHEE_rd2_0782
Rocklin,HHH_rd2_0058
Rocklin,HHH_rd1_0938_random
Rocklin,EHEE_rd4_0017
Rocklin,EHEE_rd4_0096
Rocklin,EEHEE_rd2_1198_buryD
Rocklin,EEHEE_rd3_1244
Rocklin,chymo_test_Y496
Rocklin,GCN4_S14R+H18E+N21A
Rocklin,HEEH_rd3_1287
Rocklin,HEEH_rd3_0904_buryD
Rocklin,EHEE_rd2_1133_PG_hp
Rocklin,EHEE_rd2_0245_PG_hp
Rocklin,HHH_rd1_0501
Eva2,ems_bGC_181
Eva2,ems_4hC_875_0001
Eva2,ems_ferrM_2454_0001
Eva2,ems_ferrM_7343_0002
Eva2,ems_4hM_4368
Eva2,ems_4hC_689_0001
Eva2,ems_4hC_1933_0002
Eva2,id_12737.kin_propCO_8.5_4.2_5.8_t0131_0012_0004_0001
Eva2,bp1_19.kin_propCO_8.0_3.4_1.2_t0086_0012_0004_0001
Eva2,ems_ferrM_3691_0001
Eva2,ems_thioM_22_0001
Eva2,bGM_632_0001
Eva2,ems_3hM_2113
Eva2,ems_3hM_1871
Eva2,bp1_6485.kin_propCO_8.0_5.8_12.5_t0113_0001_0004_0001
Eva2,ems_4hM_4885_0001
Eva2,ems_4hM_2590_0001
Eva2,ems_3hC_1780_0002
Eva2,ems_3hM_174
Eva2,ems_3hC_617
Eva2,id_12980.kin_propCO_7.5_3.4_1.2_t0063_0009_0005_0001
Eva2,ems_3hM_3647
Eva2,ems_3hM_965
Eva2,ems_3hM_1452
Eva2,p1-14H-GBL-16H-GABBL-15H_0064_0001_0001_0001
Eva2,ems_3hC_1225
Eva2,id_10397.kin_propCO_8.5_4.2_5.8_t0130_0005_0009_0001
Eva2,bp1_8973.kin_propCO_8.0_47.6_-3.3_t0093_0001_0004_0001
Eva2,ems_3hC_738
Eva2,bp1_2307.kin_propCO_6.5_-5.9_26.5_t0204_0003_0005_0001
Eva2,ems_thioM_222_0001
Eva2,id_10141.kin_propCO_8.5_4.2_5.8_t0134_0002_0008_0001
Eva2,ems_4hM_4026_0001
Eva2,id_10978.kin_propCO_7.5_3.8_-3.4_t0073_0002_0007_0001
Eva2,ems_thioM_973
Eva2,ems_4hC_2061_0001
Eva2,ems_ferrM_1120_0001
Eva2,p1-14H-GBL-16H-GABBL-15H_0342_0001_0001_0002
Eva2,id_13721.kin_propCO_7.0_3.4_1.2_t0039_0022_0006_0001
Eva2,bp1_57.kin_propCO_7.0_-0.2_-5.4_t0029_0003_0003_0001
Eva2,p1-15H-GBL-16H-GBL-16H_0039_0001_0001_0002
Eva2,p1-14H-GBL-16H-GBL-14H_0419_0001_0001_0002
Eva2,ems_3hC_595
Eva2,ems_ferrM_997_0001
Eva2,ems_3hC_479
Eva2,ems_3hM_1072
Eva2,ems_f2_623
Eva2,p1-15H-GBL-16H-GABBL-16H_0378_0001_0001_0001
Eva2,ems_4hC_3262
Eva2,ems_4hM_502_0001
Eva2,ems_3hM_3316
Eva2,id_13900.kin_propCO_8.0_-0.2_-5.4_t0079_0042_0007_0001
Eva2,p1-14H-GBL-16H-GABBL-15H_0066_0001_0001_0001
Eva2,ems_thioM_288_0001
Eva2,ems_4hC_2929_0002
Eva2,bGM_227_0001
Eva2,ems_ferrC_397
Eva2,ems_4hM_3604
Eva2,ems_3hM_1660
Eva2,ems_3hC_820_0001
Eva2,ems_3hC_690_0001
Eva2,ems_3hM_2062
Eva2,ems_ferrM_3764_0001
Eva2,ems_4hM_870_0001
Eva2,ems_ferrM_7283
Eva2,ems_ferrM_6895
Eva2,ems_4hM_3571_0001
Eva2,p1-15H-GBL-16H-GBL-16H_0039_0001_0001_0001
Eva2,ems_ferrM_2743_0001
Eva2,ems_ferrM_3327_0001
Eva2,ems_thioFL2_181
Rocklin,EEHEE_rd1_0043
Rocklin,EEHEE_rd1_0050
Rocklin,EEHEE_rd1_0058
Rocklin,EEHEE_rd1_0060
Rocklin,EEHEE_rd1_0073
Rocklin,EEHEE_rd1_0121
Rocklin,EEHEE_rd1_0122
Rocklin,EEHEE_rd1_0140
Rocklin,EEHEE_rd1_0162
Rocklin,EEHEE_rd1_0183
Rocklin,EEHEE_rd1_0204
Rocklin,EEHEE_rd1_0235
Rocklin,EEHEE_rd1_0265
Rocklin,EEHEE_rd1_0299
Rocklin,EEHEE_rd1_0351
Rocklin,EEHEE_rd1_0376
Rocklin,EEHEE_rd1_0380
Rocklin,EEHEE_rd1_0385
Rocklin,EEHEE_rd1_0397
Rocklin,EEHEE_rd1_0429
Rocklin,EEHEE_rd1_0434
Rocklin,EEHEE_rd1_0457
Rocklin,EEHEE_rd1_0482
Rocklin,EEHEE_rd1_0507
Rocklin,EEHEE_rd1_0512
Rocklin,EEHEE_rd1_0513
Rocklin,EEHEE_rd1_0525
Rocklin,EEHEE_rd1_0531
Rocklin,EEHEE_rd1_0536
Rocklin,EEHEE_rd1_0550
Rocklin,EEHEE_rd1_0577
Rocklin,EEHEE_rd1_0581
Rocklin,EEHEE_rd1_0587
Rocklin,EEHEE_rd1_0588
Rocklin,EEHEE_rd1_0608
Rocklin,EEHEE_rd1_0652
Rocklin,EEHEE_rd1_0682
Rocklin,EEHEE_rd1_0683
Rocklin,EEHEE_rd1_0723
Rocklin,EEHEE_rd1_0731
Rocklin,EEHEE_rd1_0738
Rocklin,EEHEE_rd1_0739
Rocklin,EEHEE_rd1_0741
Rocklin,EEHEE_rd1_0748
Rocklin,EEHEE_rd1_0768
Rocklin,EEHEE_rd1_0778
Rocklin,EEHEE_rd1_0784
Rocklin,EEHEE_rd1_0827
Rocklin,EEHEE_rd1_0832
Rocklin,EEHEE_rd1_0834
Rocklin,EEHEE_rd1_0868
Rocklin,EEHEE_rd1_0877
Rocklin,EEHEE_rd1_0916
Rocklin,EEHEE_rd1_0938
Rocklin,EEHEE_rd1_0945
Rocklin,EEHEE_rd1_0965
Rocklin,EEHEE_rd1_0984
Rocklin,EEHEE_rd1_0986
Rocklin,EEHEE_rd1_1028
Rocklin,EEHEE_rd1_1029
Rocklin,EEHEE_rd1_1035
Rocklin,EEHEE_rd1_1044
Rocklin,EEHEE_rd1_1052
Rocklin,EEHEE_rd1_1067
Rocklin,EEHEE_rd1_1101
Rocklin,EEHEE_rd1_1109
Rocklin,EEHEE_rd1_1118
Rocklin,EEHEE_rd1_1125
Rocklin,EEHEE_rd1_1126
Rocklin,EEHEE_rd1_1144
Rocklin,EEHEE_rd2_0010
Rocklin,EEHEE_rd2_0025
Rocklin,EEHEE_rd2_0046
Rocklin,EEHEE_rd2_0095
Rocklin,EEHEE_rd2_0096
Rocklin,EEHEE_rd2_0155
Rocklin,EEHEE_rd2_0202
Rocklin,EEHEE_rd2_0219
Rocklin,EEHEE_rd2_0227
Rocklin,EEHEE_rd2_0230
Rocklin,EEHEE_rd2_0242
Rocklin,EEHEE_rd2_0264
Rocklin,EEHEE_rd2_0274
Rocklin,EEHEE_rd2_0281
Rocklin,EEHEE_rd2_0282
Rocklin,EEHEE_rd2_0283
Rocklin,EEHEE_rd2_0289
Rocklin,EEHEE_rd2_0301
Rocklin,EEHEE_rd2_0340
Rocklin,EEHEE_rd2_0353
Rocklin,EEHEE_rd2_0373
Rocklin,EEHEE_rd2_0385
Rocklin,EEHEE_rd2_0386
Rocklin,EEHEE_rd2_0387
Rocklin,EEHEE_rd2_0394
Rocklin,EEHEE_rd2_0423
Rocklin,EEHEE_rd2_0424
Rocklin,EEHEE_rd2_0430
Rocklin,EEHEE_rd2_0473
Rocklin,EEHEE_rd2_0485
Rocklin,EEHEE_rd2_0491
Rocklin,EEHEE_rd2_0505
Rocklin,EEHEE_rd2_0510
Rocklin,EEHEE_rd2_0515
Rocklin,EEHEE_rd2_0525
Rocklin,EEHEE_rd2_0531
Rocklin,EEHEE_rd2_0591
Rocklin,EEHEE_rd2_0596
Rocklin,EEHEE_rd2_0622
Rocklin,EEHEE_rd2_0626
Rocklin,EEHEE_rd2_0647
Rocklin,EEHEE_rd2_0650
Rocklin,EEHEE_rd2_0679
Rocklin,EEHEE_rd2_0682
Rocklin,EEHEE_rd2_0683
Rocklin,EEHEE_rd2_0706
Rocklin,EEHEE_rd2_0707
Rocklin,EEHEE_rd2_0710
Rocklin,EEHEE_rd2_0714
Rocklin,EEHEE_rd2_0752
Rocklin,EEHEE_rd2_0755
Rocklin,EEHEE_rd2_0828
Rocklin,EEHEE_rd2_0831
Rocklin,EEHEE_rd2_0847
Rocklin,EEHEE_rd2_0870
Rocklin,EEHEE_rd2_0871
Rocklin,EEHEE_rd2_0883
Rocklin,EEHEE_rd2_0911
Rocklin,EEHEE_rd2_0917
Rocklin,EEHEE_rd2_0920
Rocklin,EEHEE_rd2_0927
Rocklin,EEHEE_rd2_0957
Rocklin,EEHEE_rd2_1007
Rocklin,EEHEE_rd2_1012
Rocklin,EEHEE_rd2_1015
Rocklin,EEHEE_rd2_1037
Rocklin,EEHEE_rd2_1043
Rocklin,EEHEE_rd2_1055
Rocklin,EEHEE_rd2_1104
Rocklin,EEHEE_rd2_1131
Rocklin,EEHEE_rd2_1166
Rocklin,EEHEE_rd2_1206
Rocklin,EEHEE_rd2_1220
Rocklin,EEHEE_rd2_1275
Rocklin,EEHEE_rd2_1281
Rocklin,EEHEE_rd3_0014
Rocklin,EEHEE_rd3_0038
Rocklin,EEHEE_rd3_0052
Rocklin,EEHEE_rd3_0093
Rocklin,EEHEE_rd3_0108
Rocklin,EEHEE_rd3_0126
Rocklin,EEHEE_rd3_0130
Rocklin,EEHEE_rd3_0155
Rocklin,EEHEE_rd3_0157
Rocklin,EEHEE_rd3_0218
Rocklin,EEHEE_rd3_0225
Rocklin,EEHEE_rd3_0244
Rocklin,EEHEE_rd3_0265
Rocklin,EEHEE_rd3_0281
Rocklin,EEHEE_rd3_0283
Rocklin,EEHEE_rd3_0288
Rocklin,EEHEE_rd3_0309
Rocklin,EEHEE_rd3_0352
Rocklin,EEHEE_rd3_0370
Rocklin,EEHEE_rd3_0374
Rocklin,EEHEE_rd3_0383
Rocklin,EEHEE_rd3_0399
Rocklin,EEHEE_rd3_0431
Rocklin,EEHEE_rd3_0435
Rocklin,EEHEE_rd3_0441
Rocklin,EEHEE_rd3_0469
Rocklin,EEHEE_rd3_0513
Rocklin,EEHEE_rd3_0517
Rocklin,EEHEE_rd3_0554
Rocklin,EEHEE_rd3_0586
Rocklin,EEHEE_rd3_0588
Rocklin,EEHEE_rd3_0603
Rocklin,EEHEE_rd3_0622
Rocklin,EEHEE_rd3_0647
Rocklin,EEHEE_rd3_0666
Rocklin,EEHEE_rd3_0673
Rocklin,EEHEE_rd3_0679
Rocklin,EEHEE_rd3_0725
Rocklin,EEHEE_rd3_0781
Rocklin,EEHEE_rd3_0793
Rocklin,EEHEE_rd3_0806
Rocklin,EEHEE_rd3_0828
Rocklin,EEHEE_rd3_0834
Rocklin,EEHEE_rd3_0846
Rocklin,EEHEE_rd3_0880
Rocklin,EEHEE_rd3_0890
Rocklin,EEHEE_rd3_0899
Rocklin,EEHEE_rd3_0919
Rocklin,EEHEE_rd3_0926
Rocklin,EEHEE_rd3_0936
Rocklin,EEHEE_rd3_0938
Rocklin,EEHEE_rd3_0946
Rocklin,EEHEE_rd3_0967
Rocklin,EEHEE_rd3_0978
Rocklin,EEHEE_rd3_0991
Rocklin,EEHEE_rd3_1002
Rocklin,EEHEE_rd3_1003
Rocklin,EEHEE_rd3_1007
Rocklin,EEHEE_rd3_1056
Rocklin,EEHEE_rd3_1081
Rocklin,EEHEE_rd3_1082
Rocklin,EEHEE_rd3_1159
Rocklin,EEHEE_rd3_1246
Rocklin,EEHEE_rd3_1254
Rocklin,EEHEE_rd3_1257
Rocklin,EEHEE_rd3_1287
Rocklin,EEHEE_rd3_1296
Rocklin,EEHEE_rd3_1302
Rocklin,EEHEE_rd3_1328
Rocklin,EEHEE_rd3_1330
Rocklin,EEHEE_rd3_1398
Rocklin,EEHEE_rd3_1421
Rocklin,EEHEE_rd3_1431
Rocklin,EEHEE_rd3_1436
Rocklin,EEHEE_rd3_1499
Rocklin,EEHEE_rd3_1504
Rocklin,EEHEE_rd3_1515
Rocklin,EEHEE_rd3_1519
Rocklin,EEHEE_rd3_1566
Rocklin,EEHEE_rd3_1609
Rocklin,EEHEE_rd3_1619
Rocklin,EEHEE_rd3_1643
Rocklin,EEHEE_rd3_1683
Rocklin,EEHEE_rd3_1712
Rocklin,EEHEE_rd3_1715
Rocklin,EEHEE_rd3_1739
Rocklin,EEHEE_rd3_1765
Rocklin,EEHEE_rd3_1766
Rocklin,EEHEE_rd3_1788
Rocklin,EEHEE_rd3_1795
Rocklin,EEHEE_rd3_1797
Rocklin,EEHEE_rd3_1812
Rocklin,EEHEE_rd3_1825
Rocklin,EEHEE_rd4_0005
Rocklin,EEHEE_rd4_0025
Rocklin,EEHEE_rd4_0037
Rocklin,EEHEE_rd4_0049
Rocklin,EEHEE_rd4_0068
Rocklin,EEHEE_rd4_0084
Rocklin,EEHEE_rd4_0089
Rocklin,EEHEE_rd4_0096
Rocklin,EEHEE_rd4_0113
Rocklin,EEHEE_rd4_0117
Rocklin,EEHEE_rd4_0156
Rocklin,EEHEE_rd4_0224
Rocklin,EEHEE_rd4_0233
Rocklin,EEHEE_rd4_0237
Rocklin,EEHEE_rd4_0271
Rocklin,EEHEE_rd4_0275
Rocklin,EEHEE_rd4_0278
Rocklin,EEHEE_rd4_0279
Rocklin,EEHEE_rd4_0323
Rocklin,EEHEE_rd4_0339
Rocklin,EEHEE_rd4_0340
Rocklin,EEHEE_rd4_0362
Rocklin,EEHEE_rd4_0371
Rocklin,EEHEE_rd4_0394
Rocklin,EEHEE_rd4_0395
Rocklin,EEHEE_rd4_0442
Rocklin,EEHEE_rd4_0446
Rocklin,EEHEE_rd4_0449
Rocklin,EEHEE_rd4_0498
Rocklin,EEHEE_rd4_0508
Rocklin,EEHEE_rd4_0512
Rocklin,EEHEE_rd4_0519
Rocklin,EEHEE_rd4_0532
Rocklin,EEHEE_rd4_0554
Rocklin,EEHEE_rd4_0585
Rocklin,EEHEE_rd4_0616
Rocklin,EEHEE_rd4_0631
Rocklin,EEHEE_rd4_0652
Rocklin,EEHEE_rd4_0660
Rocklin,EEHEE_rd4_0663
Rocklin,EEHEE_rd4_0669
Rocklin,EEHEE_rd4_0673
Rocklin,EEHEE_rd4_0680
Rocklin,EEHEE_rd4_0684
Rocklin,EEHEE_rd4_0685
Rocklin,EEHEE_rd4_0729
Rocklin,EEHEE_rd4_0735
Rocklin,EEHEE_rd4_0741
Rocklin,EEHEE_rd4_0755
Rocklin,EEHEE_rd4_0775
Rocklin,EEHEE_rd4_0783
Rocklin,EEHEE_rd4_0790
Rocklin,EEHEE_rd4_0798
Rocklin,EEHEE_rd4_0806
Rocklin,EEHEE_rd4_0867
Rocklin,EEHEE_rd4_0930
Rocklin,EEHEE_rd4_0951
Rocklin,EEHEE_rd4_0963
Rocklin,EEHEE_rd4_0964
Rocklin,EEHEE_rd4_0971
Rocklin,HEEH_rd1_0023
Rocklin,HEEH_rd1_0041
Rocklin,HEEH_rd1_0043
Rocklin,HEEH_rd1_0054
Rocklin,HEEH_rd1_0055
Rocklin,HEEH_rd1_0063
Rocklin,HEEH_rd1_0093
Rocklin,HEEH_rd1_0098
Rocklin,HEEH_rd1_0123
Rocklin,HEEH_rd1_0140
Rocklin,HEEH_rd1_0150
Rocklin,HEEH_rd1_0154
Rocklin,HEEH_rd1_0161
Rocklin,HEEH_rd1_0171
Rocklin,HEEH_rd1_0189
Rocklin,HEEH_rd1_0203
Rocklin,HEEH_rd1_0207
Rocklin,HEEH_rd1_0222
Rocklin,HEEH_rd1_0229
Rocklin,HEEH_rd1_0238
Rocklin,HEEH_rd1_0254
Rocklin,HEEH_rd1_0274
Rocklin,HEEH_rd1_0287
Rocklin,HEEH_rd1_0307
Rocklin,HEEH_rd1_0328
Rocklin,HEEH_rd1_0353
Rocklin,HEEH_rd1_0386
Rocklin,HEEH_rd1_0388
Rocklin,HEEH_rd1_0408
Rocklin,HEEH_rd1_0416
Rocklin,HEEH_rd1_0419
Rocklin,HEEH_rd1_0427
Rocklin,HEEH_rd1_0438
Rocklin,HEEH_rd1_0455
Rocklin,HEEH_rd1_0478
Rocklin,HEEH_rd1_0555
Rocklin,HEEH_rd1_0564
Rocklin,HEEH_rd1_0567
Rocklin,HEEH_rd1_0569
Rocklin,HEEH_rd1_0570
Rocklin,HEEH_rd1_0596
Rocklin,HEEH_rd1_0655
Rocklin,HEEH_rd1_0666
Rocklin,HEEH_rd1_0677
Rocklin,HEEH_rd1_0684
Rocklin,HEEH_rd1_0706
Rocklin,HEEH_rd1_0717
Rocklin,HEEH_rd1_0738
Rocklin,HEEH_rd1_0743
Rocklin,HEEH_rd1_0745
Rocklin,HEEH_rd1_0747
Rocklin,HEEH_rd1_0749
Rocklin,HEEH_rd1_0774
Rocklin,HEEH_rd1_0823
Rocklin,HEEH_rd1_0839
Rocklin,HEEH_rd1_0856
Rocklin,HEEH_rd1_0860
Rocklin,HEEH_rd1_0868
Rocklin,HEEH_rd1_0870
Rocklin,HEEH_rd1_0896
Rocklin,HEEH_rd1_0897
Rocklin,HEEH_rd1_0935
Rocklin,HEEH_rd1_0964
Rocklin,HEEH_rd1_0971
Rocklin,HEEH_rd1_0972
Rocklin,HEEH_rd1_0983
Rocklin,HEEH_rd1_0997
Rocklin,HEEH_rd1_0999
Rocklin,HEEH_rd2_0080
Rocklin,HEEH_rd2_0086
Rocklin,HEEH_rd2_0101
Rocklin,HEEH_rd2_0106
Rocklin,HEEH_rd2_0114
Rocklin,HEEH_rd2_0146
Rocklin,HEEH_rd2_0166
Rocklin,HEEH_rd2_0170
Rocklin,HEEH_rd2_0181
Rocklin,HEEH_rd2_0184
Rocklin,HEEH_rd2_0190
Rocklin,HEEH_rd2_0284
Rocklin,HEEH_rd2_0289
Rocklin,HEEH_rd2_0301
Rocklin,HEEH_rd2_0309
Rocklin,HEEH_rd2_0321
Rocklin,HEEH_rd2_0330
Rocklin,HEEH_rd2_0355
Rocklin,HEEH_rd2_0374
Rocklin,HEEH_rd2_0378
Rocklin,HEEH_rd2_0399
Rocklin,HEEH_rd2_0400
Rocklin,HEEH_rd2_0428
Rocklin,HEEH_rd2_0434
Rocklin,HEEH_rd2_0452
Rocklin,HEEH_rd2_0453
Rocklin,HEEH_rd2_0487
