dataset,name,chip_name,ec50_t,ec50_c,ec50_95ci_t,ec50_95ci_c,chip_dataset
Longxing,EHEE_07786,ladder_27,0.3915409385957902,0.5470619015065117,0.3999999999999999,0.5,TwoSix_100K
Longxing,HEEH_04917,ladder_28,0.3239056969742906,0.4524983953641813,2.5,1.9000000000000004,TwoSix_100K
Longxing,HEEH_17639,ladder_29,0.29771944574748943,1.2777897203091853,2.2,0.6999999999999997,TwoSix_100K
Longxing,EHEE_12548,ladder_30,-0.06844166647992511,-0.043641068429632224,2.3000000000000003,2.3000000000000003,TwoSix_100K
Longxing,HEEH_07169,ladder_31,-0.13401528086933945,1.3017838580957013,2.1,0.7999999999999998,TwoSix_100K
Longxing,HEEH_01860,ladder_32,2.2741799357639705,2.7734926673940956,0.2999999999999998,0.2999999999999998,TwoSix_100K
Longxing,HEEH_09671,ladder_33,0.36429401360764796,1.3972986302539974,0.2999999999999998,0.2999999999999998,TwoSix_100K
Longxing,EEHEE_08024,ladder_34,2.9262466579483863,1.75589458513077,9.6,4.199999999999998,TwoSix_100K
Longxing,HEEH_05548,ladder_35,0.473429767764296,-0.14887529924191598,0.3999999999999999,2.2,TwoSix_100K
Longxing,EEHEE_40757,ladder_36,-0.13401528086933945,1.3277997813170406,2.1,0.7999999999999998,TwoSix_100K
Longxing,HEEH_20289,ladder_37,1.6846598859781288,0.8531086663528513,1.1999999999999995,0.8999999999999999,TwoSix_100K
Longxing,HEEH_04209,ladder_38,-0.13401528086933945,0.3222975759006732,2.2,2.5,TwoSix_100K
Longxing,EHEE_09302,ladder_39,0.6291494669030198,1.0865051182294945,2.8000000000000003,0.8000000000000003,TwoSix_100K
Longxing,EEHEE_07281,ladder_40,0.29771944574748943,2.751468059545921,2.2,0.2999999999999998,TwoSix_100K
Longxing,HEEH_22356,ladder_41,4.238218912156524,3.3409123989871485,0.09999999999999963,0.09999999999999963,TwoSix_100K
Longxing,HEEH_09576,ladder_42,0.3955681871198909,-0.043641068429632224,2.8000000000000003,2.3000000000000003,TwoSix_100K
Longxing,HEEH_03086,ladder_43,2.3255824974011756,3.4093268031451363,1.0999999999999996,0.2999999999999998,TwoSix_100K
Longxing,HEEH_21573,ladder_44,-0.13401528086933945,0.4524983953641813,2.2,1.9000000000000004,TwoSix_100K
